------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:67, Time:1ms, TrainError:0.076783866, TrainErrorChange:-4.780665E-4, ValidationError:0.24092129, Accuracy: 0.9111111
Epoch:68, Time:0ms, TrainError:0.076322906, TrainErrorChange:-4.6095997E-4, ValidationError:0.24119514, Accuracy: 0.9111111
Epoch:69, Time:1ms, TrainError:0.07587805, TrainErrorChange:-4.4485927E-4, ValidationError:0.24145468, Accuracy: 0.9111111
Epoch:70, Time:0ms, TrainError:0.0754483, TrainErrorChange:-4.297495E-4, ValidationError:0.24169956, Accuracy: 0.9111111
Epoch:71, Time:0ms, TrainError:0.07503265, TrainErrorChange:-4.1564554E-4, ValidationError:0.24192947, Accuracy: 0.9111111
Epoch:72, Time:1ms, TrainError:0.07463048, TrainErrorChange:-4.021749E-4, ValidationError:0.24214433, Accuracy: 0.9111111
Epoch:73, Time:0ms, TrainError:0.0742408, TrainErrorChange:-3.8967282E-4, ValidationError:0.24234343, Accuracy: 0.9111111
Epoch:74, Time:0ms, TrainError:0.073862955, TrainErrorChange:-3.7784874E-4, ValidationError:0.24252738, Accuracy: 0.9111111
Epoch:75, Time:0ms, TrainError:0.0734963, TrainErrorChange:-3.6665797E-4, ValidationError:0.24269566, Accuracy: 0.9111111
Epoch:76, Time:1ms, TrainError:0.07314009, TrainErrorChange:-3.562048E-4, ValidationError:0.2428479, Accuracy: 0.9111111
Epoch:77, Time:0ms, TrainError:0.07279385, TrainErrorChange:-3.4624338E-4, ValidationError:0.24298494, Accuracy: 0.9111111
Epoch:78, Time:0ms, TrainError:0.07245699, TrainErrorChange:-3.3685565E-4, ValidationError:0.2431063, Accuracy: 0.9111111
Epoch:79, Time:1ms, TrainError:0.07212915, TrainErrorChange:-3.2784045E-4, ValidationError:0.24321312, Accuracy: 0.9111111
Epoch:80, Time:0ms, TrainError:0.07180972, TrainErrorChange:-3.194362E-4, ValidationError:0.24330463, Accuracy: 0.9111111
Epoch:81, Time:1ms, TrainError:0.07149835, TrainErrorChange:-3.113672E-4, ValidationError:0.24338171, Accuracy: 0.9111111
Epoch:82, Time:1ms, TrainError:0.071194515, TrainErrorChange:-3.0383468E-4, ValidationError:0.24344496, Accuracy: 0.9111111
Epoch:83, Time:0ms, TrainError:0.07089804, TrainErrorChange:-2.964735E-4, ValidationError:0.24349464, Accuracy: 0.9111111
Epoch:84, Time:0ms, TrainError:0.070608504, TrainErrorChange:-2.89537E-4, ValidationError:0.24353093, Accuracy: 0.9111111
Epoch:85, Time:0ms, TrainError:0.0703255, TrainErrorChange:-2.8300285E-4, ValidationError:0.24355482, Accuracy: 0.9111111
Epoch:86, Time:1ms, TrainError:0.070048966, TrainErrorChange:-2.7653575E-4, ValidationError:0.24356659, Accuracy: 0.9111111
Epoch:87, Time:1ms, TrainError:0.069778346, TrainErrorChange:-2.7062E-4, ValidationError:0.24356739, Accuracy: 0.9111111
Epoch:88, Time:0ms, TrainError:0.06951366, TrainErrorChange:-2.6468188E-4, ValidationError:0.24355705, Accuracy: 0.9111111
Epoch:89, Time:0ms, TrainError:0.069254465, TrainErrorChange:-2.5919825E-4, ValidationError:0.2435366, Accuracy: 0.9111111
Epoch:90, Time:0ms, TrainError:0.069000654, TrainErrorChange:-2.5381148E-4, ValidationError:0.24350658, Accuracy: 0.9111111
Epoch:91, Time:0ms, TrainError:0.06875202, TrainErrorChange:-2.4863333E-4, ValidationError:0.24346781, Accuracy: 0.9111111
Epoch:92, Time:0ms, TrainError:0.06850834, TrainErrorChange:-2.4367869E-4, ValidationError:0.24342129, Accuracy: 0.9111111
Epoch:93, Time:1ms, TrainError:0.06826949, TrainErrorChange:-2.3885071E-4, ValidationError:0.24336681, Accuracy: 0.9111111
Epoch:94, Time:1ms, TrainError:0.06803523, TrainErrorChange:-2.3426116E-4, ValidationError:0.24330585, Accuracy: 0.9111111
