------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:64, Time:1ms, TrainError:0.1411776, TrainErrorChange:0.0027219355, ValidationError:0.28875956, Accuracy: 0.9111111
Epoch:65, Time:1ms, TrainError:0.102596335, TrainErrorChange:-0.03858126, ValidationError:0.2584136, Accuracy: 0.9111111
Epoch:66, Time:1ms, TrainError:0.14392398, TrainErrorChange:0.041327648, ValidationError:0.27841598, Accuracy: 0.9111111
Epoch:67, Time:0ms, TrainError:0.13551281, TrainErrorChange:-0.008411169, ValidationError:0.23042038, Accuracy: 0.9111111
Epoch:68, Time:0ms, TrainError:0.079016306, TrainErrorChange:-0.05649651, ValidationError:0.31565952, Accuracy: 0.9111111
Epoch:69, Time:0ms, TrainError:0.18405773, TrainErrorChange:0.10504142, ValidationError:0.41858295, Accuracy: 0.9111111
Epoch:70, Time:1ms, TrainError:0.12579657, TrainErrorChange:-0.058261156, ValidationError:0.24407414, Accuracy: 0.9111111
Epoch:71, Time:0ms, TrainError:0.08818737, TrainErrorChange:-0.037609205, ValidationError:0.123399, Accuracy: 0.9555556
Epoch:72, Time:0ms, TrainError:0.07988419, TrainErrorChange:-0.00830318, ValidationError:0.11536432, Accuracy: 0.9555556
Epoch:73, Time:1ms, TrainError:0.07784572, TrainErrorChange:-0.002038464, ValidationError:0.23946181, Accuracy: 0.9111111
Epoch:74, Time:1ms, TrainError:0.0645002, TrainErrorChange:-0.013345525, ValidationError:0.12744497, Accuracy: 0.9555556
Epoch:75, Time:0ms, TrainError:0.060896777, TrainErrorChange:-0.0036034212, ValidationError:0.10147241, Accuracy: 0.9555556
Epoch:76, Time:1ms, TrainError:0.083536744, TrainErrorChange:0.022639968, ValidationError:0.21451144, Accuracy: 0.9111111
Epoch:77, Time:0ms, TrainError:0.07915738, TrainErrorChange:-0.004379362, ValidationError:0.34166792, Accuracy: 0.9111111
Epoch:78, Time:0ms, TrainError:0.26000357, TrainErrorChange:0.18084618, ValidationError:0.34772313, Accuracy: 0.9111111
Epoch:79, Time:1ms, TrainError:0.08777341, TrainErrorChange:-0.17223015, ValidationError:0.21023026, Accuracy: 0.9111111
Epoch:80, Time:0ms, TrainError:0.058056552, TrainErrorChange:-0.02971686, ValidationError:0.1995577, Accuracy: 0.9111111
Epoch:81, Time:0ms, TrainError:0.059893597, TrainErrorChange:0.001837045, ValidationError:0.2834159, Accuracy: 0.9111111
Epoch:82, Time:1ms, TrainError:0.07393858, TrainErrorChange:0.014044981, ValidationError:0.22183095, Accuracy: 0.9111111
Epoch:83, Time:0ms, TrainError:0.25268883, TrainErrorChange:0.17875025, ValidationError:0.08487662, Accuracy: 1.0
Epoch:84, Time:0ms, TrainError:0.10091892, TrainErrorChange:-0.1517699, ValidationError:0.13316311, Accuracy: 0.9111111
Epoch:85, Time:1ms, TrainError:0.065964796, TrainErrorChange:-0.034954123, ValidationError:0.17913157, Accuracy: 0.9111111
Epoch:86, Time:0ms, TrainError:0.07929199, TrainErrorChange:0.013327196, ValidationError:0.26510993, Accuracy: 0.9111111
Epoch:87, Time:0ms, TrainError:0.092856124, TrainErrorChange:0.013564132, ValidationError:0.15699439, Accuracy: 0.9111111
Epoch:88, Time:0ms, TrainError:0.07579988, TrainErrorChange:-0.017056242, ValidationError:0.33723944, Accuracy: 0.9111111
Epoch:89, Time:0ms, TrainError:0.07685347, TrainErrorChange:0.0010535866, ValidationError:0.11200927, Accuracy: 0.9555556
Epoch:90, Time:1ms, TrainError:0.06563413, TrainErrorChange:-0.011219338, ValidationError:0.3736072, Accuracy: 0.9111111
Epoch:91, Time:0ms, TrainError:0.07777512, TrainErrorChange:0.012140989, ValidationError:0.49119726, Accuracy: 0.9111111
Epoch:92, Time:1ms, TrainError:0.36309662, TrainErrorChange:0.2853215, ValidationError:0.2208271, Accuracy: 0.9111111
Epoch:93, Time:0ms, TrainError:0.11061093, TrainErrorChange:-0.2524857, ValidationError:0.45699152, Accuracy: 0.9111111
Epoch:94, Time:1ms, TrainError:0.12897213, TrainErrorChange:0.018361196, ValidationError:0.17065538, Accuracy: 0.9555556
Epoch:95, Time:0ms, TrainError:0.32486215, TrainErrorChange:0.19589002, ValidationError:0.20669277, Accuracy: 0.9111111
Epoch:96, Time:1ms, TrainError:0.08715238, TrainErrorChange:-0.23770978, ValidationError:0.3074652, Accuracy: 0.9111111
Epoch:97, Time:0ms, TrainError:0.05625175, TrainErrorChange:-0.030900627, ValidationError:0.29905123, Accuracy: 0.9111111
Epoch:98, Time:0ms, TrainError:0.057299957, TrainErrorChange:0.0010482073, ValidationError:0.105098985, Accuracy: 0.9555556
Epoch:99, Time:1ms, TrainError:0.048421964, TrainErrorChange:-0.008877993, ValidationError:0.29659918, Accuracy: 0.9111111
Epoch:100, Time:0ms, TrainError:0.27134317, TrainErrorChange:0.22292121, ValidationError:0.2510059, Accuracy: 0.9111111
Epoch:101, Time:1ms, TrainError:0.16238774, TrainErrorChange:-0.10895543, ValidationError:0.44071972, Accuracy: 0.9111111
Epoch:102, Time:0ms, TrainError:0.15944396, TrainErrorChange:-0.002943784, ValidationError:0.42843634, Accuracy: 0.9111111
