------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:75, Time:0ms, TrainError:0.09008643, TestError:0.18661088, TrainErrorChange:0.09008643, Accuracy: 0.9111111
Epoch:76, Time:1ms, TrainError:0.08921242, TestError:0.1857092, TrainErrorChange:0.08921242, Accuracy: 0.9111111
Epoch:77, Time:0ms, TrainError:0.088360175, TestError:0.18482465, TrainErrorChange:0.088360175, Accuracy: 0.9111111
Epoch:78, Time:1ms, TrainError:0.08752916, TestError:0.1839595, TrainErrorChange:0.08752916, Accuracy: 0.9111111
Epoch:79, Time:0ms, TrainError:0.08671877, TestError:0.18311554, TrainErrorChange:0.08671877, Accuracy: 0.9111111
Epoch:80, Time:0ms, TrainError:0.08592838, TestError:0.1822939, TrainErrorChange:0.08592838, Accuracy: 0.9111111
Epoch:81, Time:0ms, TrainError:0.085157424, TestError:0.18149588, TrainErrorChange:0.085157424, Accuracy: 0.9111111
Epoch:82, Time:0ms, TrainError:0.08440506, TestError:0.18072435, TrainErrorChange:0.08440506, Accuracy: 0.9111111
Epoch:83, Time:1ms, TrainError:0.08367091, TestError:0.17997834, TrainErrorChange:0.08367091, Accuracy: 0.9111111
Epoch:84, Time:0ms, TrainError:0.08295401, TestError:0.17926115, TrainErrorChange:0.08295401, Accuracy: 0.9111111
Epoch:85, Time:1ms, TrainError:0.08225417, TestError:0.17857145, TrainErrorChange:0.08225417, Accuracy: 0.9111111
Epoch:86, Time:0ms, TrainError:0.08157049, TestError:0.17791137, TrainErrorChange:0.08157049, Accuracy: 0.9111111
Epoch:87, Time:0ms, TrainError:0.080902725, TestError:0.17728081, TrainErrorChange:0.080902725, Accuracy: 0.9111111
Epoch:88, Time:0ms, TrainError:0.08024996, TestError:0.1766807, TrainErrorChange:0.08024996, Accuracy: 0.9111111
Epoch:89, Time:0ms, TrainError:0.0796119, TestError:0.17611168, TrainErrorChange:0.0796119, Accuracy: 0.9111111
Epoch:90, Time:1ms, TrainError:0.07898803, TestError:0.17557372, TrainErrorChange:0.07898803, Accuracy: 0.9111111
Epoch:91, Time:0ms, TrainError:0.07837788, TestError:0.1750668, TrainErrorChange:0.07837788, Accuracy: 0.9111111
Epoch:92, Time:0ms, TrainError:0.07778072, TestError:0.17459129, TrainErrorChange:0.07778072, Accuracy: 0.9111111
Epoch:93, Time:0ms, TrainError:0.07719638, TestError:0.17414726, TrainErrorChange:0.07719638, Accuracy: 0.9111111
Epoch:94, Time:0ms, TrainError:0.07662428, TestError:0.1737348, TrainErrorChange:0.07662428, Accuracy: 0.9111111
Epoch:95, Time:0ms, TrainError:0.076063976, TestError:0.17335293, TrainErrorChange:0.076063976, Accuracy: 0.9111111
Epoch:96, Time:1ms, TrainError:0.075514965, TestError:0.17300321, TrainErrorChange:0.075514965, Accuracy: 0.9111111
Epoch:97, Time:0ms, TrainError:0.07497711, TestError:0.17268433, TrainErrorChange:0.07497711, Accuracy: 0.9111111
Epoch:98, Time:0ms, TrainError:0.07444978, TestError:0.17239617, TrainErrorChange:0.07444978, Accuracy: 0.9111111
Epoch:99, Time:0ms, TrainError:0.07393285, TestError:0.17213781, TrainErrorChange:0.07393285, Accuracy: 0.9111111
Epoch:100, Time:0ms, TrainError:0.07342563, TestError:0.17190997, TrainErrorChange:0.07342563, Accuracy: 0.9111111
Epoch:101, Time:0ms, TrainError:0.07292809, TestError:0.17171243, TrainErrorChange:0.07292809, Accuracy: 0.9111111
Epoch:102, Time:1ms, TrainError:0.07243994, TestError:0.17154218, TrainErrorChange:0.07243994, Accuracy: 0.9111111
Epoch:103, Time:0ms, TrainError:0.07196056, TestError:0.17140163, TrainErrorChange:0.07196056, Accuracy: 0.9111111
Epoch:104, Time:0ms, TrainError:0.071489744, TestError:0.17128879, TrainErrorChange:0.071489744, Accuracy: 0.9111111
Epoch:105, Time:0ms, TrainError:0.07102761, TestError:0.17120391, TrainErrorChange:0.07102761, Accuracy: 0.9111111
Epoch:106, Time:1ms, TrainError:0.07057324, TestError:0.17114659, TrainErrorChange:0.07057324, Accuracy: 0.9111111
Epoch:107, Time:0ms, TrainError:0.070127, TestError:0.17111589, TrainErrorChange:0.070127, Accuracy: 0.9111111
Epoch:108, Time:1ms, TrainError:0.06968828, TestError:0.17110977, TrainErrorChange:0.06968828, Accuracy: 0.9111111
Epoch:109, Time:0ms, TrainError:0.06925678, TestError:0.17112964, TrainErrorChange:0.06925678, Accuracy: 0.9111111
Epoch:110, Time:0ms, TrainError:0.068832606, TestError:0.17117472, TrainErrorChange:0.068832606, Accuracy: 0.9111111
Epoch:111, Time:0ms, TrainError:0.06841545, TestError:0.17124279, TrainErrorChange:0.06841545, Accuracy: 0.9111111
