[INFO] Scanning for projects...
[INFO] 
[INFO] ------------------< com.deepnetts:deepnetts-examples >------------------
[INFO] Building com.deepnetts:deepnetts-examples 1.11
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:3.0.0:java (default-cli) @ deepnetts-examples ---
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:68, Time:1ms, TrainError:0.083533116, TrainErrorChange:-0.00118763, TrainAccuracy: 0.97840476
Epoch:69, Time:1ms, TrainError:0.082387134, TrainErrorChange:-0.0011459813, TrainAccuracy: 0.97840476
Epoch:70, Time:3ms, TrainError:0.081280954, TrainErrorChange:-0.0011061803, TrainAccuracy: 0.97840476
Epoch:71, Time:1ms, TrainError:0.08021238, TrainErrorChange:-0.0010685772, TrainAccuracy: 0.97840476
Epoch:72, Time:0ms, TrainError:0.07917977, TrainErrorChange:-0.0010326058, TrainAccuracy: 0.97840476
Epoch:73, Time:1ms, TrainError:0.07818145, TrainErrorChange:-9.983182E-4, TrainAccuracy: 0.97840476
Epoch:74, Time:1ms, TrainError:0.07721634, TrainErrorChange:-9.6511096E-4, TrainAccuracy: 0.97840476
Epoch:75, Time:1ms, TrainError:0.07628258, TrainErrorChange:-9.337589E-4, TrainAccuracy: 0.97840476
Epoch:76, Time:0ms, TrainError:0.07537889, TrainErrorChange:-9.036958E-4, TrainAccuracy: 0.97840476
Epoch:77, Time:1ms, TrainError:0.074504636, TrainErrorChange:-8.742511E-4, TrainAccuracy: 0.97840476
Epoch:78, Time:1ms, TrainError:0.0736584, TrainErrorChange:-8.4623694E-4, TrainAccuracy: 0.97840476
Epoch:79, Time:2ms, TrainError:0.07283898, TrainErrorChange:-8.194223E-4, TrainAccuracy: 0.97840476
Epoch:80, Time:1ms, TrainError:0.07204541, TrainErrorChange:-7.935688E-4, TrainAccuracy: 0.97840476
Epoch:81, Time:8ms, TrainError:0.071276836, TrainErrorChange:-7.685721E-4, TrainAccuracy: 0.97840476
Epoch:82, Time:3ms, TrainError:0.07053256, TrainErrorChange:-7.4427575E-4, TrainAccuracy: 0.97840476
Epoch:83, Time:11ms, TrainError:0.06981139, TrainErrorChange:-7.211715E-4, TrainAccuracy: 0.97840476
Epoch:84, Time:0ms, TrainError:0.06911232, TrainErrorChange:-6.990656E-4, TrainAccuracy: 0.97840476
Epoch:85, Time:0ms, TrainError:0.06843481, TrainErrorChange:-6.775111E-4, TrainAccuracy: 0.97840476
Epoch:86, Time:11ms, TrainError:0.067778215, TrainErrorChange:-6.565973E-4, TrainAccuracy: 0.97840476
Epoch:87, Time:2ms, TrainError:0.06714154, TrainErrorChange:-6.3667446E-4, TrainAccuracy: 0.97840476
Epoch:88, Time:1ms, TrainError:0.06652436, TrainErrorChange:-6.1718374E-4, TrainAccuracy: 0.97840476
Epoch:89, Time:2ms, TrainError:0.06592583, TrainErrorChange:-5.985275E-4, TrainAccuracy: 0.97840476
Epoch:90, Time:1ms, TrainError:0.065345265, TrainErrorChange:-5.8056414E-4, TrainAccuracy: 0.97840476
Epoch:91, Time:1ms, TrainError:0.064782135, TrainErrorChange:-5.631298E-4, TrainAccuracy: 0.97840476
Epoch:92, Time:1ms, TrainError:0.064235754, TrainErrorChange:-5.463809E-4, TrainAccuracy: 0.97840476
Epoch:93, Time:2ms, TrainError:0.06370563, TrainErrorChange:-5.301237E-4, TrainAccuracy: 0.97840476
Epoch:94, Time:1ms, TrainError:0.06319128, TrainErrorChange:-5.1435083E-4, TrainAccuracy: 0.97840476
Epoch:95, Time:0ms, TrainError:0.06269194, TrainErrorChange:-4.993379E-4, TrainAccuracy: 0.97840476
Epoch:96, Time:1ms, TrainError:0.06220716, TrainErrorChange:-4.847832E-4, TrainAccuracy: 0.97840476
Epoch:97, Time:1ms, TrainError:0.06173632, TrainErrorChange:-4.7083944E-4, TrainAccuracy: 0.97840476
Epoch:98, Time:1ms, TrainError:0.06127923, TrainErrorChange:-4.570894E-4, TrainAccuracy: 0.97840476
Epoch:99, Time:1ms, TrainError:0.060834933, TrainErrorChange:-4.4429675E-4, TrainAccuracy: 0.97840476
Epoch:100, Time:0ms, TrainError:0.06040351, TrainErrorChange:-4.3142214E-4, TrainAccuracy: 0.97840476
Epoch:101, Time:1ms, TrainError:0.059983958, TrainErrorChange:-4.1955337E-4, TrainAccuracy: 0.97840476
Epoch:102, Time:1ms, TrainError:0.05957625, TrainErrorChange:-4.0770695E-4, TrainAccuracy: 0.97840476
Epoch:103, Time:1ms, TrainError:0.059179667, TrainErrorChange:-3.9658323E-4, TrainAccuracy: 0.97840476
Epoch:104, Time:1ms, TrainError:0.05879415, TrainErrorChange:-3.8551912E-4, TrainAccuracy: 0.97840476
Epoch:105, Time:1ms, TrainError:0.058418665, TrainErrorChange:-3.7548319E-4, TrainAccuracy: 0.97840476
Epoch:106, Time:0ms, TrainError:0.058053397, TrainErrorChange:-3.6526844E-4, TrainAccuracy: 0.97840476
Epoch:107, Time:1ms, TrainError:0.057697814, TrainErrorChange:-3.5558268E-4, TrainAccuracy: 0.97840476
Epoch:108, Time:0ms, TrainError:0.057351436, TrainErrorChange:-3.463775E-4, TrainAccuracy: 0.97840476
Epoch:109, Time:0ms, TrainError:0.057013854, TrainErrorChange:-3.3758208E-4, TrainAccuracy: 0.97840476
Epoch:110, Time:1ms, TrainError:0.056685086, TrainErrorChange:-3.2876804E-4, TrainAccuracy: 0.97840476
Epoch:111, Time:1ms, TrainError:0.05636432, TrainErrorChange:-3.2076612E-4, TrainAccuracy: 0.97840476
Epoch:112, Time:1ms, TrainError:0.056051735, TrainErrorChange:-3.1258538E-4, TrainAccuracy: 0.97840476
Epoch:113, Time:1ms, TrainError:0.05574667, TrainErrorChange:-3.0506402E-4, TrainAccuracy: 0.97840476
Epoch:114, Time:10ms, TrainError:0.055449124, TrainErrorChange:-2.975464E-4, TrainAccuracy: 0.97840476
Epoch:115, Time:0ms, TrainError:0.055158425, TrainErrorChange:-2.906993E-4, TrainAccuracy: 0.97840476
Epoch:116, Time:1ms, TrainError:0.054874845, TrainErrorChange:-2.8358027E-4, TrainAccuracy: 0.97840476
Epoch:117, Time:1ms, TrainError:0.05459765, TrainErrorChange:-2.7719513E-4, TrainAccuracy: 0.97840476
Epoch:118, Time:1ms, TrainError:0.05432689, TrainErrorChange:-2.7076155E-4, TrainAccuracy: 0.97840476
Epoch:119, Time:1ms, TrainError:0.054062314, TrainErrorChange:-2.6457384E-4, TrainAccuracy: 0.97840476
Epoch:120, Time:1ms, TrainError:0.053803634, TrainErrorChange:-2.5868043E-4, TrainAccuracy: 0.97840476
Epoch:121, Time:1ms, TrainError:0.053550586, TrainErrorChange:-2.530478E-4, TrainAccuracy: 0.97840476
Epoch:122, Time:1ms, TrainError:0.053303145, TrainErrorChange:-2.4744123E-4, TrainAccuracy: 0.97840476
Epoch:123, Time:1ms, TrainError:0.053061094, TrainErrorChange:-2.4205074E-4, TrainAccuracy: 0.97840476
Epoch:124, Time:2ms, TrainError:0.05282403, TrainErrorChange:-2.3706257E-4, TrainAccuracy: 0.97840476
Epoch:125, Time:1ms, TrainError:0.05259209, TrainErrorChange:-2.319403E-4, TrainAccuracy: 0.97840476
Epoch:126, Time:1ms, TrainError:0.05236493, TrainErrorChange:-2.2716075E-4, TrainAccuracy: 0.97840476
Epoch:127, Time:16ms, TrainError:0.052142445, TrainErrorChange:-2.2248551E-4, TrainAccuracy: 0.97840476
Epoch:128, Time:7ms, TrainError:0.051924556, TrainErrorChange:-2.178885E-4, TrainAccuracy: 0.97840476
Epoch:129, Time:1ms, TrainError:0.05171107, TrainErrorChange:-2.1348521E-4, TrainAccuracy: 0.97840476
Epoch:130, Time:0ms, TrainError:0.051501885, TrainErrorChange:-2.0918623E-4, TrainAccuracy: 0.97840476
Epoch:131, Time:10ms, TrainError:0.05129679, TrainErrorChange:-2.0509586E-4, TrainAccuracy: 0.97840476
Epoch:132, Time:0ms, TrainError:0.05109572, TrainErrorChange:-2.0106882E-4, TrainAccuracy: 0.97840476
Epoch:133, Time:1ms, TrainError:0.050898556, TrainErrorChange:-1.9716471E-4, TrainAccuracy: 0.97840476
Epoch:134, Time:0ms, TrainError:0.050705153, TrainErrorChange:-1.9340217E-4, TrainAccuracy: 0.97840476
Epoch:135, Time:1ms, TrainError:0.05051549, TrainErrorChange:-1.8966198E-4, TrainAccuracy: 0.97840476
Epoch:136, Time:0ms, TrainError:0.050329387, TrainErrorChange:-1.8610433E-4, TrainAccuracy: 0.97840476
Epoch:137, Time:1ms, TrainError:0.050146844, TrainErrorChange:-1.8254295E-4, TrainAccuracy: 0.97840476
Epoch:138, Time:1ms, TrainError:0.049967613, TrainErrorChange:-1.7923117E-4, TrainAccuracy: 0.97840476
Epoch:139, Time:16ms, TrainError:0.049791675, TrainErrorChange:-1.7593801E-4, TrainAccuracy: 0.97840476
Epoch:140, Time:1ms, TrainError:0.04961896, TrainErrorChange:-1.7271563E-4, TrainAccuracy: 0.97840476
Epoch:141, Time:1ms, TrainError:0.049449384, TrainErrorChange:-1.6957521E-4, TrainAccuracy: 0.97840476
Epoch:142, Time:1ms, TrainError:0.049282916, TrainErrorChange:-1.6646832E-4, TrainAccuracy: 0.97840476
Epoch:143, Time:1ms, TrainError:0.04911942, TrainErrorChange:-1.6349554E-4, TrainAccuracy: 0.97840476
Epoch:144, Time:1ms, TrainError:0.048958663, TrainErrorChange:-1.6075745E-4, TrainAccuracy: 0.97840476
Epoch:145, Time:0ms, TrainError:0.048800834, TrainErrorChange:-1.5782937E-4, TrainAccuracy: 0.97840476
Epoch:146, Time:1ms, TrainError:0.048645746, TrainErrorChange:-1.5508756E-4, TrainAccuracy: 0.97840476
